[2026-05-14T08:48:00.704+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.708+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.710+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.712+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.714+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.718+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.721+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.728+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.731+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.733+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.735+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.737+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.743+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.745+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.748+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.750+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.753+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.756+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.758+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.760+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.762+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.765+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.767+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.771+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.773+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.776+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.778+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.780+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.782+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.785+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.788+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.791+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.793+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.795+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.798+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.801+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.803+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.806+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.808+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.811+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.813+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.817+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.819+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.821+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.823+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.825+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.828+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.831+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.833+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.835+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.838+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.840+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.842+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.844+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
